ProdNames,Prices,sales
【DELL 戴爾】20W快充行動電源組★13吋i7輕薄筆電(Inspiron/13-5330-R2808STW-4Y/i7-1360P/16G/1TB/Win11/,"$41,499","總銷量>3,000"
【DELL 戴爾】Office 2021組★i5 RTX3050特仕電腦(Inspiron 3020T/i5-13400/8G/256G SSD+1TB/RTX3050 8G/W1,"$29,990",總銷量>3萬
【DELL 戴爾】Xbox無線控制器組★i5 RTX3050特仕電腦(Inspiron 3020T/i5-13400/8G/256G SSD+1TB/RTX3050 8G,"$27,990","總銷量>3,000"
【DELL 戴爾】G3223D-4Y 32型 IPS 2K 165Hz電競螢幕(FreeSync/HDR400/Type-C/TUV護眼),"$9,988",
【DELL 戴爾】20W快充行動電源組★14吋i5輕薄筆電(Vostro/V14-3430-R1508ATW/i5-1335U/8G/512G/Win11P/泰坦,"$29,490","總銷量>3,000"
【DELL 戴爾】微軟M365組★i5十核商用電腦(Vostro Small 3020/i5-13400/8G/256G+1TB/W11P),"$25,990",總銷量>1萬
【DELL 戴爾】i7 RTXA2000工作站(Precision 3660/i7-13700/16G/2T HDD+2T SSD/RTX A2000_12G/W11P),"$84,900",
【DELL 戴爾】Xbox無線控制器組★i5 GTX1650特仕電腦(Inspiron 3020T/i5-13400/8G/256G SSD+1TB/GTX1650/W1,"$26,190","總銷量>3,000"
【DELL 戴爾】福利品 Dell R720 機架式伺服器 E5-2670*2 /128G/3T SAS*4/750W*2(套餐五),"$69,900",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2640*2 /8G/300G SAS/750W(套餐一),"$17,900",
【DELL 戴爾】13代i5薄型商用電腦(3020S/i5-13400/16G/512G SSD+1TB HDD/180W/W11P),"$29,900",
【DELL 戴爾】P3223QE-3Y 32型 IPS 4K 多工美型螢幕(Type-C/TUV護眼),"$19,888",
【DELL 戴爾】『福利品』i5桌上型電腦(Vostro V3020S/i5-13400/8G/256SSD+1TB HDD/W11P),"$15,890",
【DELL 戴爾】W-2223 RTX3070TI工作站(P5820/W-2223/32G ECC/2TB SSD+2TB HDD/RTX3070TI_8G/W11P),"$99,900",
【DELL 戴爾】福利品 Dell R730 機架式伺服器 E5-2686*2/H730P/256G/6T*4/750W*2(套餐九),"$129,900",
【DELL 戴爾】i9 RTX4080二十四核商用電腦(XPS8960-R2968WTW/i9-13900K/32G/1TB+2TB/RTX4080/W11P),"$101,990",
【DELL 戴爾】Office 2021組★i3四核商用電腦(Vostro Tower?3020/i3-13100/8G/256G+1TB/W11P),"$25,990",總銷量>3萬
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2630V4*2/H330/32G/2T*1/450W(套餐三),"$33,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2686V4*2/H730P/256G/6T*4/450W*2(套餐九),"$125,000",
【DELL 戴爾】i7 RTX4080十六核商用電腦(XPS8960-R2768BTW/i7-13700K/32G/512G+2TB/RTX4080/W11P),"$88,999",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2670*2 /128G/3T SAS*4/750W*2(套餐五),"$68,900",
【DELL 戴爾】福利品 Dell R720 機架式伺服器 E5-2670*2 /96G/2T SAS*4/750W(套餐四),"$55,900",
【DELL 戴爾】福利品 Dell R720 機架式伺服器 E5-2690*2 /128G/4T SAS*4/750W*2(套餐六),"$89,900",
【DELL 戴爾】福利品 Dell R730XD 機架式伺服器 E5-2686*2/H730P/256G/6T*4/750W*2(套餐九),"$125,000",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2683V4*2/H730P/128G/4T*4/450W*2(套餐八),"$100,900",
【DELL 戴爾】Office 2021組★i5十核商用電腦(Vostro Small 3020/i5-13400/8G/256G+1TB/W11P),"$27,990",總銷量>3萬
【DELL 戴爾】微軟M365組★i7十六核桌上型電腦(Inspiron 3020T/i7-13700/16G/512G/W11),"$33,990",總銷量>1萬
【DELL 戴爾】W-2223 RTXA4000繪圖工作站(P5820/W-2223/32G ECC/2TB SSD+4TB/RTX A4000_16G/W11P),"$129,900",
【DELL 戴爾】W-2223 RTX3080工作站(P5820/W-2223/32G ECC/2TB SSD+2TB HDD/RTX3080_10G/W11P),"$109,900",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2640*2 /16G/300G SAS*4/750W(套餐二),"$21,900",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2670*2 /32G/2T SAS/750W(套餐三),"$32,900",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2697*2 /256G/6T SAS*4/750W*2(套餐七),"$101,900",
【DELL 戴爾】福利品 Dell R720 機架式伺服器 E5-2670*2 /32G/2T SAS/750W(套餐三),"$33,900",
【DELL 戴爾】W-2223 RTX 4070Ti高階繪圖工作站(5820/W-2223/32G/2TB SSD+4TB HDD/RTX 4070Ti_12G/W11P),"$129,900",
【DELL 戴爾】20W快充行動電源組★16吋i7獨顯RTX輕薄筆電(Inspiron/16-7630-R3788STW-4Y/i7-13700H/16G/1TB,"$61,499","總銷量>3,000"
【DELL 戴爾】Office 2021組★i5十核商用電腦(Vostro Tower? 3020/i5-13400/8G/256G+1TB/W11P),"$22,999",總銷量>3萬
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2670*2 /96G/2T SAS*4/750W(套餐四),"$54,900",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2690*2 /128G/4T SAS*4/750W*2(套餐六),"$88,900",
【DELL 戴爾】福利品 Dell R720xd 機架式伺服器 E5-2670*2 /16G/750W(套餐八),"$18,900",
【DELL 戴爾】福利品 Dell R720 機架式伺服器 E5-2697*2 /256G/6T SAS*4/750W*2(套餐七),"$111,900",
【DELL 戴爾】福利品 Dell R730 機架式伺服器 E5-2630V4*2/H330/16G/300G SAS*4/750W(套餐二),"$34,900",
【DELL 戴爾】福利品 Dell R730 機架式伺服器 E5-2630V4*2/H330/32G/2T/750W(套餐三),"$38,900",
【DELL 戴爾】福利品 Dell R730 機架式伺服器 E5-2670*2/H330/32G/2T*2/750W(套餐四),"$44,900",
【DELL 戴爾】福利品 Dell R730 機架式伺服器 E5-2680*2/H730P/128G/4T*4/750W(套餐七),"$99,900",
【DELL 戴爾】福利品 Dell R730 機架式伺服器 E5-2683V4*2/H730P/128G/4T*4/750W*2(套餐八),"$105,900",
【DELL 戴爾】福利品 Dell R730XD 機架式伺服器 E5-2630V4*2/H330/16G/300G SAS*4/750W(套餐二),"$29,900",
【DELL 戴爾】福利品 Dell R730XD 機架式伺服器 E5-2670*2/H330/32G/2T*2/750W(套餐四),"$39,900",
【DELL 戴爾】福利品 Dell R730XD 機架式伺服器 E5-2680*2/H730P/128G/4T*4/750W(套餐七),"$94,900",
【DELL 戴爾】福利品 Dell R730XD 機架式伺服器 E5-2683V4*2/H730P/128G/4T*4/750W*2(套餐八),"$100,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2670V3*2/H330/16G/450W(套餐一),"$24,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2670V3*2/H330/32G/2T*2/450W(套餐四),"$39,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2670V3*2/H730/64G/2T*4/450W(套餐五),"$54,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2680V4*2/H730/64G/2T*1/450W(套餐六),"$54,900",
【DELL 戴爾】福利品 Dell R4301U 機架式伺服器 E5 2680V4*2/H730P/128G/4T*4/450W(套餐七),"$94,900",
【戴爾康DELLCON】CE歐盟認證FFP2高防護口罩 N95等級醫療口罩(30入/盒),"$1,079","總銷量>3,000"
【DELLCON戴爾康】CE歐盟認證FFP2高防護口罩 N95等級醫療口罩(全國市占率銷售第一 N95等級醫療口罩),"$1,059",總銷量>100
在超市遇見戴爾．卡內基：跟人際關係大師學30個人心掌握術,$284,總銷量>100
【HENIS】買4送4木戴爾禮盒裝四角褲(共8件 涼感/男內褲/內褲/平口內褲),$999,"總銷量>3,000"
【戴爾康DELLCON】CE歐盟認證FFP2高防護口罩 N95等級醫療口罩(25入/盒 全新升級單片裝 momo獨家),"$1,074",總銷量>500
【HENIS】木戴爾運動機能長版內褲(防磨腿 男內褲 四角褲 大尺碼),$226,總銷量>50
【DELLCON戴爾康-單片包裝】FFP2/D2雙認證歐規N95等級醫療口罩(2023年新款-不易起毛 25入/盒),"$1,110","總銷量>1,000"
【HENIS】8件組 精選組合包柔順木戴爾/零著感四角褲/平織平口內褲(20週年超級回饋),$799,"總銷量>1,000"
【DELLCON戴爾康】五層FFP2高防護口罩30入(N95等級醫療口罩),"$1,150","總銷量>1,000"
【HAMEL】第二代藍牙版 Pen For Surface/HP/DELL觸控筆_支援更多品牌(曜石黑),"$1,428",總銷量>100
【HAMEL】藍牙版 Pen For Surface/HP/DELL觸控筆/bluetooth(炫目銀),"$1,428",總銷量>50
【HENIS】木戴爾 零著感 無痕內褲(隱形腰帶款-6件組),$681,
【LEGO 樂高】10316 《魔戒》瑞文戴爾(Icons系列),"$12,300",
【HENIS】韓國22顆磁石健康木戴爾男內褲,$490,總銷量>100
【台達電子】Innergie 90W T9 原廠變壓器 充電器 電源線(Asus Acer Hp Dell Lenovo),"$1,294",
【BODEN】戴爾4尺多功能升降仿石面大茶几/餐桌-折疊大桌面+附收納小椅凳二入,"$14,515",
【LEGO 樂高】積木 ICONS系列 魔戒 瑞文戴爾10316(台樂),"$13,459",
【HENIS】木戴爾 零著感 無痕內褲(彈性腰帶款-6件組),"$1,026",
【Ezstick】DELL Inspiron 15 7000 Gaming 15 7577 P72F 紅色機 透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【YOUNGBABY】厚片鬆緊腰純色顯瘦莫戴爾九分褲(2件組),$638,
【Ezstick】DELL XPS 15 9570 P56F 觸控版 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$558,
【台達電子】Innergie 90W T9 原廠變壓器 充電器 電源線(Asus 華碩 Acer 宏碁 Hp Dell Lenovo 萬用變壓器),"$1,510",
【LEGO 樂高】積木 ICONS系列 魔戒 瑞文戴爾10316(活動限定),"$12,500",
【金安德森】KA莫戴爾休閒男上衣(共三色),$845,
【台灣製~護視長】27吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),"$1,069",
【台灣製~護視長】22吋 抗藍光液晶螢幕護目鏡(DELL C款 E2219HN),$762,
【Ezstick】DELL Inspiron 15 5510 5515 P106F TOUCH PAD 觸控板 保護貼,$138,
【艾美時尚】現貨 短褲 休閒褲 顯瘦感莫戴爾休閒褲裙(酒紅),$449,
【小衣衫童裝】兒童夏季糖果色莫戴爾棉彈力七分褲(1080506),$156,總銷量>100
【AT HOME】4.6尺黑色雙色多功能工作桌/收銀桌/櫃檯桌/吧檯桌 現代簡約(史戴爾),"$6,450",
【艾美時尚】現貨 上衣 莫戴爾修身好感純色背心。加大碼M-2XL(5色&2款),$499,總銷量>50
【台灣製~護視長】24吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列二 新規格),$883,
【Ezstick】DELL XPS 13 9370 P82G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【台灣製~護視長】24吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列一 新規格),$883,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A2款 U2417H),$883,
【台灣製~護視長】28吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),"$1,162",
【Ezstick】DELL Inspiron 13 5390 P114G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Latitude 7420 P136G 黑色卡夢紋機身貼(含上蓋貼、鍵盤週圍貼、底部貼 共三張),$353,
【ABA】ARV-N003 Noble Wedge 4字輪纜繩鎖(字輪纜繩鎖/筆電鎖/for Dell Noble wedge laptop),$507,
【台灣製~護視長】27吋 抗藍光液晶螢幕護目鏡(DELL NEW系列),"$1,069",
【Ezstick】DELL XPS 13 9360 P54G 無指紋 非觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 7380 P83G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Vostro V14 5402 P130G 筆電用 防藍光 防窺片(左右防窺),$688,
心靈教父偉恩戴爾暢銷經典套書（二冊）：《為什麼你不敢面對真實的自己》、《為什麼你無法真正的快樂》,$553,
【台達電子】Innergie 65W 65U 原廠變壓器 充電器 電源線(Asus Acer Hp Dell Lenovo),$940,
【LEGO 樂高】Icons 10316 THE LORD OF THE RINGS: RIVENDELL(瑞文戴爾精靈庇護所 魔戒),"$11,249",總銷量>100
享受挑戰，贏得漂亮：戴爾電腦創辦人麥克．戴爾的領導者生存之戰,$420,總銷量>50
【Ezstick】DELL Inspiron 14 5480 P92G 13吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【TZ collection】莫戴爾蠶絲無痕牛奶光面兩穿內衣 4色(秋冬 溫暖 裸感 親膚 無鋼圈),$780,
【完美主義】戴爾全網頭靠氣墊腰靠T型扶手電腦椅/辦公椅/書桌椅,"$3,781",
【金安德森】KA莫戴爾連身高領洋裝(共二色),"$1,090",
【台灣製~護視長】22吋 抗藍光液晶螢幕護目鏡(DELL NEW系列),$762,
【金安德森】KA莫戴爾戴帽背心(共二色),"$1,195",
【Ezstick】DELL Inspiron 13 5330 P156G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9360 P54G 無指紋 非觸控版 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【HENIS】3D無痕零著感 木戴爾V領衫(2件組),$567,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL NEW系列),$883,
【AS雅司設計】戴爾多段調整網布辦公椅,"$3,572",
【護視長】19吋 抗藍光液晶螢幕護目鏡(DELL B款 E1913S),$744,
【Ezstick】DELL XPS 13 9380 P82G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【台灣製-護視長】29吋 抗藍光液晶螢幕 LCD護目鏡(DELL A款 U2917W),"$1,283",
【台灣製~護視長】22吋 抗藍光液晶螢幕護目鏡(DELL A款 S2218H),$762,
【文創集】戴爾 時尚3尺岩板圓几/大茶几,"$19,300",
【必登堡】戴爾德吊燈 【B560281】(客廳燈/工作室燈/走廊燈/空心圓形/古典/簡約/現代),"$14,166",
【Ezstick】DELL VOSTRO 3420 奈米銀 抗菌 TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 14 5430 5435 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【COOLGUY COLLECT】戴爾紅牛 四合一仿真按摩陽具(按摩棒.情趣用品.DILDO.假陽具按摩棒),"$1,422",
【台灣製~護視長】25吋 抗藍光液晶螢幕護目鏡(DELL NEW系列),$911,
【護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A1款 U2415),$976,
【Ezstick】DELL XPS 13 9370 P82G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL XPS 15 9570 P56F 觸控版 TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 5580 P77F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 5580 P77F 15吋 通用多功能時尚電腦防震電腦包(內膽包),$650,
【Ezstick】DELL Inspiron 14 5480 P92G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【台灣製~護視長】19吋抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$734,
【AS雅司設計】戴爾香檜化妝台含椅-88x42x146cm,"$13,290",
【Ezstick】DELL Inspiron 13 5390 P114G 12吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 14 5490 P116G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 7390 P82G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【台灣製~護視長】24吋 抗藍光液晶螢幕護目鏡(DELL B款 S2417HG),$883,
【Ezstick】DELL Inspiron 14 5401 P130G 13吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL XPS 15 9500 P91F 15吋SS 通用NB保護專案 三合一超值電腦包組(避震包),$305,
【Ezstick】DELL Latitude 5511 P80F 15吋S 通用NB保護專案 三合一超值電腦包組(避震包),$305,
【Ezstick】DELL Vostro 16 5620 P117 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 7510 P106F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【MyBook】享受挑戰，贏得漂亮：戴爾電腦創辦人麥克．戴爾的領導者生存之戰(電子書),$420,
【Ezstick】DELL Vostro V16 7620 P117F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL VOSTRO V15 3525 抗菌 TPU 鍵盤膜 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL INSPIRON 16 PLUS 7620 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL INSPIRON 16 5625 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL INSPIRON 14 PLUS 7420 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【EZstick】DELL Latitude 15 E5550 專用 靜電式筆電液晶螢幕貼(可選鏡面或霧面),$432,
【綠活居】戴爾 時尚3尺二抽書桌/電腦桌(三色可選),"$2,718",
【護視長】22吋 抗藍光液晶螢幕護目鏡(DELL A1款 S2216M),$883,
【護視長】24吋 抗藍光液晶螢幕護目鏡(DELL A2款 U2417H),$976,
【Ezstick】DELL XPS 13 9370 P82G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 7000 Gaming 15 7577 P72F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 7000 Gaming 15 7577 P72F 黑色機 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 7000 Gaming 15 7577 P72F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 7000 Gaming 15 7577 P72F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 13 5370 P87G 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL Inspiron 13 5370 P87G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 5370 P87G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 5370 P87G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 3567 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 3567 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 3567 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 3567 TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL XPS 13 9370 P82G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 7000 Gaming 15 7577 P72F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 15 9570 P56F 觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL XPS 15 9570 P56F 非觸控版 TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL XPS 15 9570 P56F 觸控版 防藍光螢幕貼(可選鏡面或霧面),"$1,041",
【Ezstick】DELL Inspiron 15 3567 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 Gaming 7566 7567 P65F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9360 P54G 指紋機 非觸控版 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL XPS 13 9360 P54G 指紋機 非觸控版 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL XPS 13 9360 P54G 無指紋 非觸控版 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL XPS 13 9360 P54G 指紋機 非觸控版 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 5580 P77F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 5580 P77F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5580 P77F 15吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 15 5580 P77F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 3576 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 3576 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 3576 TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 3576 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL G5-5587 P72F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 3576 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL G3-3579 P75F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL G3-3579 P75F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL G3-3579 P75F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL G5-5587 P72F 紅色機專用 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL G5-5587 P72F 黑色機專用 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL G5-5587 P72F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL G5-5587 P72F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 7380 P83G 防藍光螢幕貼(可選鏡面或霧面),$641,
【Ezstick】DELL Inspiron 13 7380 P83G 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 13 7380 P83G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL G3-3579 P75F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL G3-3579 P75F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL G5-5587 P72F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 7580 P70F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 15 7580 P70F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 7580 P70F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 7580 P70F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 7580 P70F 15吋S 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL XPS 13 9380 P82G 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL XPS 13 9380 P82G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL XPS 13 9380 P82G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 14 5480 P92G 防藍光螢幕貼(可選鏡面或霧面),$762,
【Ezstick】DELL Inspiron 14 5480 P92G TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 14 5480 P92G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【台灣製~護視長】22吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列二 新規格),$762,
【台灣製~護視長】23吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$883,
【台灣製~護視長】20吋抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$762,
【台灣製~護視長】22吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列一 新規格),$762,
【台灣製~護視長】25吋 抗藍光液晶螢幕 LCD護目鏡(DELL 系列 新規格),$911,
【Ezstick】DELL Inspiron 15 5567 P66F 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 5567 P66F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 5567 P66F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 5567 P66F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 5567 P66F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【台灣製 24吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列一 新規格),$663,
【台灣製 24吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列二 新規格),$663,
【台灣製 25吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列 新規格),$722,
【台灣製 28吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列 新規格),$807,
【台灣製 27吋】高透光液晶螢幕護目防撞保護鏡(DELL 系列 新規格),$748,
【Ezstick】DELL Inspiron 15 7590 P83F 黑色立體紋機身貼(含上蓋貼、鍵盤週圍貼),$353,
【Ezstick】DELL Inspiron 15 7590 P83F 防藍光螢幕貼(可選鏡面或霧面),$837,
【Ezstick】DELL Inspiron 15 7590 P83F 靜電式筆電LCD液晶螢幕貼(可選鏡面或霧面),$446,
【Ezstick】DELL Inspiron 15 7590 P83F TOUCH PAD 觸控板 保護貼,$138,
【Ezstick】DELL Inspiron 15 7590 P83F 奈米銀抗菌TPU 鍵盤保護膜(鍵盤膜),$289,
【Ezstick】DELL Inspiron 15 7590 P83F 15吋SS 通用NB保護專案 三合一超值電腦包組(防震包),$305,
【Ezstick】DELL Inspiron 13 5390 P114G 二代透氣機身保護貼(含上蓋貼、鍵盤週圍貼、底部貼),$353,
【Ezstick】DELL Inspiron 13 5390 P114G 防藍光螢幕貼(可選鏡面或霧面),$641,
